Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C_0603_1608Metric",-11.512000,39.320400,-90.000000,top
"C2","470n","C_0603_1608Metric",-3.331600,46.955200,90.000000,top
"C3","470n","C_0603_1608Metric",-4.873268,46.955200,90.000000,top
"C4","470n","C_0603_1608Metric",-6.414934,46.955200,90.000000,top
"C5","470n","C_0603_1608Metric",-7.956600,46.955200,90.000000,top
"C6","200p","C_0603_1608Metric",43.318533,50.761800,-90.000000,top
"C7","360p","C_0603_1608Metric",35.966866,50.761800,-90.000000,top
"C8","100n","C_0603_1608Metric",-11.430340,33.167740,90.000000,top
"C9","100n","C_0603_1608Metric",0.633400,37.947200,90.000000,top
"C10","750p","C_0603_1608Metric",28.556310,50.761800,-90.000000,top
"C11","10µ","C_0603_1608Metric",-2.423200,30.092600,90.000000,top
"C12","200p","C_0603_1608Metric",45.031866,50.761800,-90.000000,top
"C13","1µ","C_0603_1608Metric",-0.846100,34.891400,-90.000000,top
"C14","1µ","C_0603_1608Metric",-1.643500,32.532300,180.000000,top
"C15","1µ","C_0603_1608Metric",9.897800,26.070400,90.000000,top
"C16","1µ","C_0603_1608Metric",14.221200,27.727000,0.000000,top
"C17","1µ","C_0603_1608Metric",17.228400,27.713000,180.000000,top
"C18","360p","C_0603_1608Metric",37.710199,50.761800,-90.000000,top
"C19","750p","C_0603_1608Metric",30.287420,50.761800,-90.000000,top
"C20","1µ","C_0603_1608Metric",18.471000,21.021600,180.000000,top
"C21","1µ","C_0603_1608Metric",18.417800,24.057600,180.000000,top
"C22","100n","C_0603_1608Metric",18.484100,26.184000,180.000000,top
"C23","100n","C_0603_1608Metric",6.035000,18.555800,90.000000,top
"C24","620p","C_0603_1608Metric",-14.787000,28.991202,180.000000,top
"C25","130p","C_0603_1608Metric",20.013400,49.685200,180.000000,top
"C26","180p","C_0603_1608Metric",-14.787000,33.768330,180.000000,top
"C27","130p","C_0603_1608Metric",21.693400,46.503200,0.000000,top
"C28","100n","C_0603_1608Metric",-1.668000,27.809400,0.000000,top
"C29","10µ","C_0603_1608Metric",20.601600,31.700600,90.000000,top
"C30","33µ 25V","C_Elec_5x5.8",45.655200,32.151800,-90.000000,top
"C31","620p","C_0603_1608Metric",-14.787000,35.360704,0.000000,top
"C32","180p","C_0603_1608Metric",-14.787000,40.137826,180.000000,top
"C33","100n","C_0603_1608Metric",34.950400,12.750800,90.000000,top
"C34","100n","C_0603_1608Metric",4.213400,25.085200,180.000000,top
"C35","100n","C_0603_1608Metric",0.675800,46.909600,-90.000000,top
"C36","100n","C_0603_1608Metric",18.512400,22.547600,0.000000,top
"C37","100n","C_0603_1608Metric",7.677000,46.947200,-90.000000,top
"C38","100n","C_0603_1608Metric",6.110600,45.233600,90.000000,top
"C39","100n","C_0603_1608Metric",-1.683760,37.136300,180.000000,top
"C40","10µ","C_0603_1608Metric",49.719400,27.803200,-90.000000,top
"C41","1n","C_0603_1608Metric",-8.550600,18.163800,90.000000,top
"C42","1n","C_0603_1608Metric",-8.535800,21.264600,-90.000000,top
